FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,790,ORD,BOS,1750,-1.0,2109,16.0,112.0,867.0,0.0,0.0,16.0,0.0,0.0
2018-01-01,UA,788,BOS,SFO,810,66.0,1155,31.0,350.0,2704.0,0.0,31.0,0.0,0.0,0.0
2018-01-01,UA,783,LAX,IAD,1757,45.0,146,22.0,247.0,2288.0,22.0,0.0,0.0,0.0,0.0
2018-01-01,UA,780,ORD,CLE,1600,58.0,1819,51.0,48.0,316.0,0.0,0.0,0.0,0.0,51.0
2018-01-01,UA,772,PHX,DEN,1737,51.0,1924,39.0,80.0,602.0,0.0,0.0,0.0,0.0,39.0
2018-01-01,UA,762,IAD,IAH,820,-2.0,1048,84.0,185.0,1190.0,0.0,0.0,84.0,0.0,0.0
2018-01-01,UA,755,EWR,ORD,1330,93.0,1503,85.0,112.0,719.0,42.0,0.0,0.0,0.0,43.0
2018-01-01,UA,748,IAH,EWR,1210,56.0,1637,33.0,166.0,1400.0,0.0,0.0,0.0,0.0,33.0
2018-01-01,UA,746,SFO,EWR,1300,16.0,2128,24.0,296.0,2565.0,16.0,0.0,8.0,0.0,0.0
2018-01-01,UA,743,ORD,SFO,1742,145.0,2021,123.0,230.0,1846.0,0.0,0.0,0.0,0.0,123.0
2018-01-01,UA,728,SFO,ORD,1000,181.0,1613,184.0,208.0,1846.0,0.0,0.0,3.0,0.0,181.0
2018-01-01,UA,727,SFO,IAD,1300,24.0,2105,16.0,261.0,2419.0,5.0,0.0,0.0,0.0,11.0
2018-01-01,UA,722,MIA,EWR,2004,95.0,2310,68.0,139.0,1085.0,1.0,0.0,0.0,0.0,67.0
2018-01-01,UA,720,SFO,DEN,1457,183.0,1831,168.0,113.0,967.0,16.0,0.0,0.0,0.0,152.0
2018-01-01,UA,719,IAD,LAX,1906,-2.0,2200,15.0,314.0,2288.0,0.0,0.0,15.0,0.0,0.0
2018-01-01,UA,713,JAX,EWR,1255,200.0,1520,182.0,97.0,820.0,0.0,0.0,19.0,0.0,163.0
2018-01-01,UA,704,IAH,EWR,1832,73.0,2255,66.0,174.0,1400.0,5.0,0.0,0.0,0.0,61.0
